cluster_id,end_date,cluster_length,cluster_max_cat,cum_delta_lag1_to_lag6,peak_lag_1to6,peak_delta_1to6,length_bin
3,2015-08-25,3,preemergencia,44.666666666666686,1,32.66666666666667,3
9,2016-04-12,4,preemergencia,31.33333333333332,2,19.666666666666664,4
13,2016-05-13,2,preemergencia,-1.0,4,10.5,2
25,2016-06-23,2,emergencia,9.0,6,34.0,2
29,2016-07-03,3,preemergencia,1.0,2,14.0,3
31,2016-07-20,3,preemergencia,-70.5,5,-4.5,3
33,2016-07-25,2,emergencia,7.000000000000007,2,10.333333333333336,2
41,2016-08-25,2,preemergencia,-62.99999999999997,4,11.666666666666671,2
45,2017-04-17,5,emergencia,101.99999999999997,4,29.666666666666664,5+
47,2017-05-06,2,preemergencia,55.33333333333332,2,23.666666666666664,2
49,2017-05-12,3,emergencia,-15.0,5,14.0,3
55,2017-05-31,2,emergencia,-16.0,6,16.5,2
61,2017-07-05,5,emergencia,-27.0,5,11.5,5+
63,2017-07-08,2,preemergencia,-42.99999999999997,2,13.666666666666671,2
67,2017-07-22,2,preemergencia,-101.99999999999997,2,-3.3333333333333286,2
69,2017-08-05,2,preemergencia,162.00000000000006,4,43.66666666666667,2
71,2017-08-10,3,emergencia,-31.0,6,12.0,3
79,2018-05-07,3,emergencia,91.0,2,37.0,3
83,2018-06-05,3,emergencia,-100.0,1,8.0,3
93,2018-07-27,2,preemergencia,-42.0,5,6.0,2
97,2018-08-12,5,emergencia,155.0,4,60.0,5+
105,2019-05-29,2,preemergencia,-11.333333333333357,5,27.33333333333333,2
109,2019-06-04,2,preemergencia,0.0,6,29.5,2
113,2019-06-28,2,preemergencia,-44.0,6,8.5,2
115,2019-07-04,2,emergencia,-2.3333333333333286,1,6.333333333333336,2
117,2019-07-13,3,emergencia,-75.0,2,-1.0,3
129,2020-05-21,3,preemergencia,10.000000000000004,2,4.666666666666667,3
131,2020-06-17,3,emergencia,-20.0,5,-2.5,3
135,2020-07-05,4,preemergencia,17.0,4,10.0,4
149,2021-05-21,4,preemergencia,20.0,2,13.0,4
151,2021-06-23,4,emergencia,-7.999999999999999,1,2.666666666666667,4
159,2022-06-14,2,emergencia,-227.0,1,-25.0,2
169,2023-04-11,2,preemergencia,-24.999999999999986,6,10.333333333333336,2
175,2023-05-23,2,preemergencia,-103.99999999999994,6,33.33333333333334,2
177,2023-06-21,2,emergencia,-212.0,5,-15.0,2
179,2023-06-25,2,preemergencia,-67.00000000000003,1,18.33333333333333,2
181,2023-07-01,5,emergencia,-59.000000000000014,1,3.6666666666666643,5+
187,2023-07-20,2,emergencia,24.0,6,10.0,2
189,2023-07-28,3,preemergencia,2.0,3,7.0,3
197,2024-04-13,3,emergencia,138.00000000000003,2,42.333333333333336,3
199,2024-05-18,4,emergencia,44.5,4,22.5,4
201,2024-05-28,3,preemergencia,-122.0,1,-10.0,3
203,2024-05-31,2,preemergencia,-18.999999999999986,5,8.666666666666671,2
205,2024-06-12,4,preemergencia,-71.0,4,-13.0,4
207,2024-07-09,2,preemergencia,-60.0,2,-3.0,2
215,2025-04-05,2,preemergencia,20.0,2,26.0,2
217,2025-06-08,2,emergencia,47.5,6,25.5,2
225,2025-08-14,2,emergencia,53.0,5,22.0,2
